study_id,reason_code,category,reason,evidence
2022_influence-of-the-statistical-significance-of-res_PMC8996040,not_clinical,design,Leserstudie: Wie interpretieren Leser Abstracts mit und ohne Spin; keine Intervention an Patienten,"Fragebogendaten, semikolongetrennt"
2021_the-impact-of-a-physician-s-recommendation-and-g_PMC8077152,not_clinical,design,Qualtrics-Vignettenbefragung zu Arztempfehlung und Geschlecht; keine klinische Intervention,"343 Qualtrics-Spalten, StartDate/IPAddress/ResponseId"
2021_effect-of-an-inverted-seated-position-with-upper_PMC8133415,crossover_design,design,"Vier Bedingungen je Person mit Rest/Pre/Post; Crossover, keine parallelen Gruppen","Spalten Condition 1-4 mit je Rest, Pre, Post"
2023_a-clinical-model-to-predict-the-progression-of-k_PMC10464113,not_rct,design,Prognosemodell fuer den Verlauf der Gonarthrose; keine Randomisierung,"keine Gruppenvariable, Praediktoren wie TC, HDL, SBP"
2025_comparative-effects-of-combined-aerobic-and-resi_PMC12694805,no_ipd,data,"Das Deposit enthaelt nur eine Ergebnistabelle mit Gruppendifferenzen und CIs, keine Individualdaten","Results All.xlsx, 20 Zeilen x 10 Spalten, Spalte 'Within: HIIT delta (CI)'"
2025_comparing-structured-note-taking-and-multiple-ch_PMC12667121,not_clinical,design,Lehrforschung zu Notiztechniken; keine klinische Studie,keine Tabellendatei mit Patientendaten
2026_effects-of-modest-carbohydrate-energy-supplement_PMC13305566,crossover_design,design,"Jede Person erhaelt beide Supplemente (Supplement_1 und Supplement_2 in allen 20 Zeilen belegt, je 10 C und 10 P); Crossover statt paralleler Gruppen","Supplement_1: C=10 P=10, Supplement_2: C=10 P=10, beide in 20 von 20 Zeilen"
2026_preliminary-efficacy-of-cognitive-multisensory-r_PMC13144352,arm_not_in_data,data,"Das Paper randomisiert in sofortige CMR (Gruppe A) und Beobachtung (Gruppe B), im Deposit gibt es aber keine Gruppenspalte","79 Spalten, keine mit group, arm, grp oder rand im Namen"
2025_time-restricted-eating-without-exercise-enhances_PMC12473138,crossover_design,design,"Drei Phasen je Person (Phase 1, 2, 3) ohne Gruppenvariable; Within-Person-Design","84 Zeilen x 5 Spalten: ID, Phase, Weight, Endurance, Power"
2024_eight-weeks-of-high-intensity-interval-training_PMC11467018,file_not_readable,data,Die beiden CSV-Dateien im Deposit lassen sich nicht als Tabelle einlesen (inkonsistente Spaltenzahl),"Supplementary_Material_B.csv und _C.csv, read.csv scheitert mit 'more columns than column names'"
2022_the-effect-of-mindfulness-on-the-inflammatory-ps_PMC9645607,no_data_in_deposit,data,Das im Availability-Statement verlinkte Archiv enthaelt ausschliesslich eine README.md und keine Daten,"nirakara-lab_RCT_Minfulness_Chronic_Back_Pain-MBSRCBP.zip: 1 Datei, README.md"
2025_a-sensor-augmented-telerehabilitation-system-for_PMC12693843,outcome_data_not_tabular,data,"Das Deposit enthaelt nur EMG- und IMU-Rohsignale als NumPy-Arrays je Proband und Versuch, keine Outcome-Tabelle","dataset/Subject_XX/Trial_Y/emg.npy und imu.npy, 1.4 GB"
2026_effects-of-low-load-blood-flow-restriction-train_PMC12780320,arm_not_in_data,data,Die Daten liegen als extdata eines R-Pakets in Parquet- und Excel-Dateien; in der Kontraktilitaetstabelle fehlt eine Gruppenvariable,"contractility_all_BFR_v2.xlsx: 209 x 24, keine Spalte mit group, arm oder condition"
2023_the-effects-of-creatine-supplementation-on-cogni_PMC10647179,crossover_design,design,"Supplement-Reihenfolge je Person (order_supplement, guess_first_supplement); Crossover statt paralleler Gruppen, dazu vier getrennte Testdateien",Spalten order_supplement und guess_first_supplement in Context final for osf.xlsx
2025_the-effect-of-proximity-to-failure-on-perceptual_PMC11832030,within_person_design,design,Beide Gliedmassen je Person erhalten unterschiedliche Protokolle (FAIL gegen RIR); Within-Person-Design,"1152 Zeilen mit Spalten id, limb, protocol; FAIL=576 und RIR=576"
2026_anatomy-of-a-failure-a-retrospective-evaluation_PMC13141020,arm_not_in_data,data,"Retrospektive Auswertung; die Spalte CONDITION kodiert Messzeitpunkte (1w, 1m, 3m, 6m, 12m), eine Gruppenvariable ist nicht auffindbar",Data_accelero_IMPACT.xlsx: CONDITION mit 5 Zeitpunkten a 483 Zeilen
2025_lengthened-partial-repetitions-elicit-similar-mu_PMC11829627,within_person_design,design,Beide Arme je Person erhalten unterschiedliche Protokolle (pROM/fROM kontralateral); kein Parallelgruppen-Kontrollarm. Gleiche Regel wie bei der Proximity-to-Failure-Studie,
2024_pilot-randomized-controlled-trial-of-i-lymfit-i_PMC11171874,feasibility_primary,design,"Pilot-Machbarkeits-RCT (n=26); primaeres Ziel sind Feasibility-Benchmarks, kein Wirksamkeits-Primaeroutcome. Gleiche Regel wie bei den zwei anderen Machbarkeitsstudien",
2022_understanding-how-individualised-physiotherapy-o_PMC8830646,no_group_estimate,no_estimate,"Explorative Netzwerkanalyse (Mixed Graphical Model) ueber 10 ODI-Items einer Sekundaeranalyse des STOPS-Trials; kein Gruppendifferenz-Schaetzer, kein primaeres Outcome",
2025_effects-of-an-aquatic-protocol-on-electromyograp_PMC12111718,outcome_not_identifiable,data,"Kein primaeres Outcome deklariert; Abstract nennt zuerst EMG-Aktivierung gemittelt ueber 4 Muskeln, im Deposit nur Einzelmuskel-Spalten mit unbeschrifteten Suffixen .A/.P; Zuordnung zum publizierten Schaetzer nicht eindeutig",
2015_a-12-week-exercise-program-for-pregnant-women-wi_PMC4573757,outcome_timepoint_not_in_deposit,data,Primaeres Outcome (nach dokumentiertem Outcome-Switching) ist MVPA in Bouts bei 36 SSW; das Deposit enthaelt nur v1 (14 SSW) und v2 (28 SSW). Regel: publiziertes primaeres Outcome nicht ersetzen,
2026_changes-in-repetitive-negative-thinking-and-stre_PMC12885332,secondary_analysis_no_estimate,no_estimate,"Mediationsanalyse (SEM) des ImPuls-RCT (Wolf et al. 2024, Lancet Psychiatry); kein eigener Gruppenvergleichs-Schaetzer; Primaerbericht liegt anderswo",
