"study_id","primary_outcome","primary_outcome_declared","primary_timepoint","n_randomised","n_analysed","population","field","delivered_by","published_type","published_est","published_ci_lo","published_ci_hi","published_se","published_p","published_scale","direction","B_baseline_handling","B_covariates","B_analysis_population","B_missing_strategy","B_outlier_rule","B_transformation","B_model_family","B_time_handling","B_clustering_modelled","B_se_method","B_multiplicity","C_baseline_test_reported","C_adjust_after_baseline_test","C_estimand_stated","C_protocol_available","registration_id","journal","journal_requires_data_sharing","registry_outcome_ok","registry_control_ok","registry_issues","mcid_raw"
"lytras_fms_PMC12942207","NPRS-Lumbar Pain (Numeric Pain Rating Scale, lumbar back pain)","registration","Week 3 (post-intervention, after 10 treatment sessions over three weeks), compared with baseline (pre-intervention)",40,40,"patients","physiotherapy_rehabilitation","physiotherapist","mean_difference",-1.2,-2.18,-0.22,NA,0.018,"raw","intervention","other","none","itt","none_missing","not_reported","none","anova","factor","none","not_reported","bonferroni","yes","no","no","registration_only","NCT07234071","Medicina (MDPI, published on behalf of Lithuanian University of Health Sciences); Medicina 2026, 62, 249; https://doi.org/10.3390/medicina62020249","yes","yes","no","(1) ARM CODING MISMATCH: registry.csv lists arm_control=1, but the deposited SPSS file (Lytras FMS 1 data.sav) defines GROUP value labels as 1.0 = 'Manual Therapy with FMS' (the intervention arm) and 2.0 = 'Manual therpay alone' (the actual control arm). So the control arm is GROUP=2, not GROUP=1 as currently coded in the registry -- this needs correction. (2) COVARIATE MISMATCH: registry.csv lists covars_published='Age,Gender,BMI', but the paper's published primary analysis (two-way mixed ANOVA with only 'group' and 'time' factors) does not adjust for Age, Gender/Sex or BMI (or any other covariate) at all. These three variables (plus symptom duration, affected side, herniation level) are used only for a descriptive baseline-balance comparison in Table 2 (independent t-tests / chi-square), not as model covariates for the primary outcome. B_covariates is therefore coded 'none', not 'published_set'. (3) OUTCOME VAR MATCH CONFIRMED: outcome_var=NRPSLBPpost / baseline_var=NRPSLBPpre correspond to 'NPRS lumbar pain 3rd week' / 'NPRS lumbar pain baseline' in the SPSS labels, which matches the paper's NPRS-Lumbar Pain outcome -- this is one of the co-primary outcomes both in the paper (Methods 2.4: 'All outcomes were considered primary') and in the ClinicalTrials.gov registration NCT07234071 (which lists 'Pain Intensity (NPRS)', 'Straight Leg Raise (SLR) Angle', 'Change in Functional Disability' [RMDQ], and 'Change in Neuropathic Symptom Profile' [S-LANSS] as four co-equal Primary Outcome Measures, with NPRS listed first and covering both lumbar and leg pain). No single outcome is hierarchically primary; NPRS-Lumbar is the first-named/first-discussed of the pain measures in both the registration order and the paper's own subsection order (2.4.1), consistent with the registry's prior choice. (4) The task prompt's working hypothesis that 'FMS' might refer to 'Functional Movement Screen' (suggested by the title wording given in the task) is incorrect for this paper: FMS here stands for 'Functional Magnetic Stimulation', a magnetic-field neuromodulation device applied concurrently with manual therapy -- it is a treatment component/co-intervention, not an outcome measure and not related to the Functional Movement Screen assessment tool.",NA
"mallorca_PMC8198819","Postpartum depression, assessed with the Edinburgh Postnatal Depression Scale (EPDS) total score and the dichotomised risk-of-depression category (EPDS>10), at 1 month postpartum. IMPORTANT CAVEAT: this paper's own 'Sample Size' section (2.3) and Discussion explicitly identify EPDS/postpartum depression as a SECONDARY hypothesis/outcome of the underlying trial, not the primary one -- see notes and registry_check.issues.","abstract","1 month after delivery (single postpartum follow-up assessment; no baseline EPDS was collected -- see notes)",294,271,"pregnant","exercise_physiology","trainer","mean_difference",-0.7,-1.24,-0.17,NA,0.01,"raw","intervention","endpoint","none","itt","mi","not_reported","none","anova","single_timepoint","none","model_based","none","yes","yes","no","yes","ISRCTN14097513","Journal of Clinical Medicine (J. Clin. Med.), MDPI, ISSN 2077-0383, open access CC BY","unclear","no","yes","KORREKTUR unserer bisherigen Notiz: EPDS/edimburgtotal ist NICHT das primaere Outcome der zugrunde liegenden Studie, sondern explizit ein SEKUNDAERES. Beleg 1 (Section 2.3, Sample Size): 'For the primary hypothesis, 320 women provided 80% power at 5% significance two-tailed alpha to detect differences in the primary outcome. For the secondary hypothesis, we had 80% power to detect a between-arm effect size of 0.22 (standardized difference) in the Depression Edinburgh questionnaire and MOS-sleep questionnaire and a reduction of 5% in the risk of postpartum depression.' Das tatsaechliche primaere Outcome wird hier nicht benannt, aber explizit von EPDS/MOS-sleep (secondary hypothesis) abgegrenzt. Beleg 2 (Discussion, Study Strengths and Limitations): 'our results should be interpreted with caution and require confirmation by subsequent research because they are derived from secondary study objectives.' Beleg 3: Das zugehoerige, separat publizierte Studienprotokoll (Ref. [50]: Navas et al., 'Effectiveness and safety of moderate-intensity aerobic water exercise during pregnancy for reducing use of epidural analgesia during labor: Protocol for a randomized clinical trial', BMC Pregnancy Childbirth 2018, 18, 94) benennt im TITEL das primaere Outcome als 'reducing use of epidural analgesia during labor' -- ein Outcome, das im vorliegenden Ergebnis-Paper (PMC8198819) gar nicht berichtet wird. Passend dazu taucht 'epidural anesthesia' auch noch als Abstract-Keyword dieses Papers auf, obwohl im Fliesstext nirgends ein epidural-Ergebnis genannt wird -- ein Rest des urspruenglichen Studiendesigns. edimburgtotal entspricht zwar korrekt der im Paper berichteten Spalte 'Depression Edinburgh questionnaire total (EDPS)' (Tabelle 2) und ist damit variablenseitig richtig gemappt, aber die Kennzeichnung als 'primaeres Outcome' in unserer Registry-Notiz ist so nicht haltbar; korrekt waere 'sekundaeres/geplantes-aber-nicht-primaeres Trial-Outcome, im vorliegenden Paper als Hauptbefund praesentiert'. Zusaetzlicher Kontext: Die ISRCTN-Registrierung (ISRCTN14097513) erfolgte laut Paper erst am 4. September 2017 -- NACH Abschluss von Rekrutierung/Durchfuehrung (November 2014 bis Maerz 2017); es handelt sich also um eine retrospektive Registrierung, was die Aussagekraft der Registry-Eintragung als Primary-Outcome-Anker weiter einschraenkt (das separat publizierte Protokoll von 2018 bleibt aber die belastbarere Quelle fuer das urspruengliche Studiendesign). Bestaetigt wird hingegen unsere Notiz zur fehlenden EPDS-Baseline: Die Autoren schreiben explizit in den Limitations: 'we did not assess depressive symptoms at baseline, and some of the participants may have been depressed during pregnancy.' Konsistent damit enthaelt Tabelle 1 (Baseline-Charakteristika beider Gruppen) keine EPDS-Zeile; EPDS wurde nachweislich nur einmalig, 1 Monat postpartum, erhoben, ein Praeprae/Post-Vergleich innerhalb der Randomisierung ist fuer EPDS nicht moeglich. arm_control='C' passt zur im Paper beschriebenen Kontrollgruppe ('usual antenatal care alone' bzw. 'usual care group'); control_arm_matches='yes'.",NA
"mulligan_PMC13092435","Pain intensity (NPRS)","abstract","2 weeks post-intervention ('2nd week measurement'), after 4 manual-therapy sessions over two weeks",43,43,"patients","physiotherapy_rehabilitation","physiotherapist","other",NA,NA,NA,NA,0.383,"raw",NA,"change","none","complete_case","none_missing","not_reported","none","anova","factor","none","model_based","other","yes","no","no","registration_only","NCT06858124 (ClinicalTrials.gov)","Hong Kong Physiotherapy Journal (Vol. 46, No. 1 (2026), 67-82; DOI: 10.1142/S1013702526500058)","unclear","yes","no","(1) ARM/CONTROL MISMATCH: the SPSS file's TreatmentGroup variable has embedded value labels 1='Mulligan', 2='Maitland', 3='Control' (confirmed by reading the .sav metadata directly with pyreadstat). The paper's actual control/comparator group is the home-exercise-only arm ('Home Exercise only' / Group 3 / 'TE group'), which is coded TreatmentGroup=3, NOT TreatmentGroup=1. Registry's arm_control=1 therefore does NOT correspond to the paper's control group; SPSS arm 1 is 'Mulligan', an active manual-therapy intervention arm. As configured (arm_include='1,2', arm_control=1), the registry's contrast is Mulligan vs Maitland (both active arms), which does match one of the paper's reported pairwise contrasts and is in fact the study's central stated hypothesis ('Mulligan mobilisation ... will be more effective than the Maitland technique'), but labelling arm 1 as 'control' is incorrect/misleading -- if a true intervention-vs-control contrast is desired, the registry should use arm 3 (e.g. contrasts 1 vs 3 or 2 vs 3) as the control arm. (2) COVARIATES: registry lists covars_published='Age,Gender', but in the paper these are only baseline-balance-check variables (Table 1), not covariates in the primary NPRS model (unadjusted repeated-measures ANOVA); no covariate-adjusted estimate for NPRS is reported. (3) FILE STRUCTURE confirmed: Kiouloukiotis data.sav has 1000 rows, only the first 43 have non-missing TreatmentGroup (rows 44-1000 are empty filler rows), consistent with registry note 'SPSS-Datei mit Fuellzeilen'. Group sizes (Mulligan n=14, Maitland n=14, Control n=15) and NPRS1/NPRS2 means/SDs extracted directly from the .sav file match Table 2 of the paper exactly, confirming outcome_var=NPRS2/baseline_var=NPRS1 are correctly identified.",NA
"odinet_PMC8830646","Kein einzelnes primaeres Outcome deklariert. Das Paper ist eine explorative Netzwerkanalyse, die alle 10 Items des (modifizierten) Oswestry Disability Index (Q1 Pain intensity, Q2 Personal care, Q3 Lifting, Q4 Walking, Q5 Sitting, Q6 Standing, Q7 Sleeping, Q8 Social life, Q9 Travelling, Q10 Work/Housework) und die Behandlungsgruppe ('Group') gleichrangig als Knoten in einem Mixed Graphical Model modelliert; kein Item wird als primaer benannt. Die Abstract-'Purpose' nennt als Ziel explizit die Item-Ebene und die Beziehungen zwischen Items, nicht einen einzelnen Endpunkt.","none","Nicht deklariert. Das Paper schaetzt 5 separate Netzwerke (baseline, 5, 10, 26, 52 Wochen) parallel, ohne einen Zeitpunkt als primaer zu benennen. Woche 26 ist lediglich die von unserer Registry gewaehlte Konvention (primary_time=26), nicht eine Angabe des Papers selbst.",300,271,"patients","physiotherapy_rehabilitation","physiotherapist","other",NA,NA,NA,NA,NA,NA,NA,"endpoint","none","complete_case","complete_case","not_reported","other","other","single_timepoint","none","bootstrap","none","no","no","no","registration_only","ACTRN12609000834257","PLOS ONE","yes","no","yes","Q1 (Pain intensity) ist im Paper NICHT als primaeres Outcome deklariert. Das Paper behandelt alle 10 ODI-Items (Q1-Q10) gleichrangig als Netzwerk-Knoten; es gibt keine Hierarchie, die Q1 hervorhebt. In den Ergebnissen werden zwar Sleep (Q7) und Pain (Q1) als die Items genannt, die konsistent ueber alle Follow-ups mit der Gruppe assoziiert sind, und Pain/Social life/Work als die zentralsten Knoten -- aber das ist ein deskriptives Ergebnis der Netzwerkanalyse, keine a priori Festlegung von Q1 als primaerem Outcome. Der eigentliche 'primaere Endpunkt' der zugrunde liegenden STOPS-RCT (registriert unter ACTRN12609000834257) ist in diesem Paper nicht genannt/nicht reproduziert -- dafuer muesste der originaere Trial-Bericht (Ref. [32] Ford et al.; Ref. [34] Hahne et al., Protokoll) herangezogen werden, der hier nicht extrahiert wurde. Das Paper selbst bestaetigt indirekt, dass im originaeren RCT ein Gesamt-/Aggregatscore-Outcome verwendet wurde: 'the overall outcomes for pain (5, 10 & 26 weeks) and function (10, 26 and 52 weeks) favoured the IP group in the RCT [32]' (p. 12/17) -- 'function' duerfte sich auf den ODI-Gesamtscore beziehen, der hier NICHT gebildet/analysiert wird ('We treated the items of the ODI as continuous variables' statt eines Summenscores, p. 6/17). Damit ist Q1 als 'Platzhalter fuers primaere Outcome' in unserer Registry problematisch: Q1 ist real im Paper vorhanden und sogar unter den zwei am konsistentesten von der Gruppe beeinflussten Items, aber es ist explizit NICHT das primaere/einzige Zielkriterium, und eine Summenbildung zum ODI-Gesamtscore (wie es der originaere Trial vermutlich nutzte) waere -- wie in der Registry-Notiz korrekt antizipiert -- eine eigene, im Deposit/Paper nicht vorgenommene Analyseentscheidung. arm_control='adv' (Advice) passt korrekt zum im Paper beschriebenen 'Advice'-Arm (guideline-based advice, 2x30-min Sitzungen, Group=0); der Interventionsarm ist 'Individualised Physiotherapy' (Group=1). primary_time=26 (Woche 26) ist ein Registry-Konventionswert; das Paper selbst weist keinem der 5 Zeitpunkte (baseline, 5, 10, 26, 52 Wochen) Primaeritaet zu. Bei Woche 26 betraegt die vollstaendige Fallzahl (complete case) n=271, was zu 'n_analysed_primary' in dieser Extraktion passt, aber ebenfalls nur eine von 5 parallelen, gleichrangigen Analysen ist.",NA
"phosphatidic_PMC4891923","Lean Body Mass (LBM)","abstract","Pre (within 7 days before) vs Post (within 7 days after) an 8-week resistance-training/supplementation protocol",18,18,"healthy","sports_nutrition","self","other",33.3,NA,NA,NA,0.041,"raw","intervention","change","none","complete_case","none_missing","not_reported","none","anova","factor","none","model_based","none","yes","no","no","no","not reported / keine Registrierung im Paper auffindbar","Journal of the International Society of Sports Nutrition","yes","yes","unclear","(1) Das Paper deklariert LBM nicht explizit als 'primary outcome'; es werden 9 Outcomes (LBM, FM, TMM als 'body composition'; LP, BP als 'strength'; PU, P, VJ, AG als 'other performance') mit identischem statistischen Design (separate two-way mixed ANOVA je Outcome) untersucht, ohne Praeregistrierung, Hierarchie oder Multiplizitaetskorrektur. outcome_var=LBM2/baseline_var=LBM1 passen inhaltlich zum im Abstract-Ergebnisteil zuerst genannten und in der Conclusion am staerksten hervorgehobenen Outcome (LBM), das ist aber eine Ableitung unsererseits (primary_outcome_declared='abstract'), kein explizites Primary-Outcome-Statement im Paper. (2) arm_control=1 (numerischer Code) kann anhand des Paper-Volltexts nicht verifiziert werden, da die Kodierung der Rohdatenvariable 'Group' im Text nicht beschrieben ist; konzeptionell ist PLA (Placebo) eindeutig der Kontrollarm ('double-blind, placebo-controlled study'), die konkrete numerische Zuordnung bleibt unclear ohne Einsicht in den OSF-Datensatz. (3) covars_published=Age,Sex passt NICHT zum Paper: Das Statistical-analysis-Modell (two-way mixed factorial repeated measures ANOVA, time x group) verwendet keinerlei Kovariaten; Alter/Anthropometrie dienen nur dem deskriptiven Baseline-Vergleich (Table 2), und Geschlecht ist keine Variable (nur Maenner). (4) Interne Inkonsistenz im Paper selbst: Abstract nennt fuer LBM einen 'significant main effect (F(1,16)=33.30, p<0.001)', der Ergebnisteil (S.6) nennt denselben F-Wert aber als 'significant group x time interaction ... (F(1,16)=33.30, p=0.041)' - unterschiedlicher Effekttyp und stark abweichender p-Wert bei identischem F-Wert. (5) Keine Trial-Registrierung (kein NCT-/Registrierungscode) im Paper auffindbar.",NA
"physiofeedback_PMC12821712","AP RMS (anterior-posterior root mean square of center-of-pressure sway)","abstract","T4 (three months post-intervention); paper does not explicitly designate a single 'primary' timepoint, see notes",404,373,"healthy","exercise_physiology","trainer","change_score_difference",0.02,-0.08,0.12,NA,0.678,"log",NA,"other","published_set","itt","mmrm_ml","not_reported","log","mixed_ri","factor","site","model_based","not_reported","yes","no","no","yes","NCT05778604","Geriatrics (MDPI)","unclear","no","yes","AP_RMS is NOT the primary outcome of the underlying trial. The paper explicitly states: 'The primary outcomes of the trial itself were fall risk, dynamic balance, and physical activity levels, whereas the secondary outcomes were fall risk appraisal (comprising level of fear for falling and static balance performance) and negative self-perceptions of aging. In this exploratory analysis, the static balance of older adults was focused on...' This paper is explicitly labelled an 'exploratory analysis' of static balance (a sub-component of a secondary trial outcome), reporting four static balance metrics (AP RMS, ML RMS, sway speed variability, sway area) in parallel with no stated hierarchy/primary designation among them and no multiplicity correction across the resulting 4 outcomes x 3 time contrasts. AP RMS was chosen as 'the' outcome for our registry only because it is listed first in the Abstract's outcome list ('AP RMS, ML RMS, sway speed variability, and sway area') and in the Statistical Analysis section and Tables 3/4 order; however, the Introduction's closing paragraph lists the metrics in a different order ('sway area, AP root mean square (RMS), ML RMS, and COP sway speed variability'), i.e. sway area first -- so 'first-named outcome' is ambiguous depending on section. Notably, AP RMS shows no significant Group main effect (p=0.667) nor any significant Group*Time interaction at T2/T3/T4 (p=0.389/0.915/0.678); the paper's own emphasized findings are for sway area (marginal Group*Time(T2), Std beta=-0.07, p=0.050) and sway speed variability (significant Group*Time(T4), Std beta=0.10, p=0.014) -- i.e. not for AP RMS at all. Also, the observed statistical power for the AP RMS model is reported as only 22%, flagged by the authors themselves as a reason for caution. Primary_time=4 (T4) is not explicitly declared 'the' primary timepoint by the paper either; both short-term (T1-T2) and medium-term (T1-T4) effects are examined without hierarchy, though the registry's chosen contrast (Group*Time(T4) for AP RMS, raw/log-scale Estimate 0.02, p=0.678) matches Table 3 exactly, confirming which cell of the table the registry pulled from. Covariates (Age, BMI, Gender/Sex, Race) and cluster variable (Site) match the paper exactly (random effects for Subject ID and Site; fixed effects incl. age, BMI, sex, race/ethnicity). Control arm (educational CDC flyers, 'live their lives normally') matches. Time variable (T1-T4 long format) matches.",NA
"pregnancy12w_PMC4573757","Time spent in moderate-to-vigorous physical activity (MVPA) in bouts of >=10 minutes, at 36 weeks of gestation","methods_first_named","36 weeks of gestation (Visit 3; ~9 weeks after the end of the 12-week supervised exercise intervention)",50,34,"pregnant","exercise_physiology","trainer","other",NA,NA,NA,NA,0.014,"raw","intervention","other","none","itt","mmrm_ml","other","none","mmrm","factor","none","model_based","bonferroni","yes","no","no","yes","ClinicalTrials.gov NCT01610323 (registration submitted only after enrollment of the first participants had begun -- retrospective/delayed registration; at time of registration only 5 participants had completed the then-primary outcome assessment). Full study protocol (French and English versions) is deposited as Supporting Information (S1 Protocol, S2 Protocol), which is how the outcome switch documented below can be verified.","PLOS ONE","yes","no","unclear","TWO separate mismatches identified. (1) OUTCOME-SWITCHING (registration vs. publication), explicitly disclosed by the authors themselves: 'At the time of registration, only 5 participants had completed the primary outcome assessment, which was originally cardiorespiratory fitness following the intervention as mentioned in the original protocol. However, cardiorespiratory testing in pregnant women with obesity raised feasibility issues, especially at 28 weeks, and accordingly the primary outcome was modified for the impact of the intervention on physical activity levels, in accordance with the registered protocol...' (Study design, p. 2-3). So the ORIGINAL protocol's primary outcome (cardiorespiratory fitness / VO2 at anaerobic threshold) was replaced, before/at registration, by a physical-activity primary outcome -- consistent with our registry note. (2) WITHIN the 'physical activity' domain, the registry's chosen analysis variable (Steps_per_day) is itself NOT the paper's designated primary outcome. The Methods explicitly state: 'The primary outcome was defined as the time spent at moderate and vigorous physical activity (MVPA) at 36 weeks of gestation' (Outcomes assessment, p. 4), and the a priori sample-size calculation (n=21/group) was powered specifically for this MVPA-in-bouts measure. Steps per day is only one of several secondary/exploratory accelerometry-derived variables reported alongside MVPA in Table 2 (others: counts/day, PPAQ self-reported energy expenditure) and is not mentioned at all in the Abstract. Furthermore, steps/day shows a WEAKER, non-significant between-group result (36-week between-group comparison p=0.072, i.e. only a trend) compared with the true primary outcome MVPA (significant group main effect p=0.014), so choosing steps/day instead of MVPA also changes the substantive headline finding that would be reanalysed. control_arm_matches is coded 'unclear' because paper.txt does not state the numeric coding of the 'Category' variable (exercise=?, control=?) used in the deposited Dryad_data.xlsx; this can only be verified by inspecting the deposited dataset directly, which was outside the scope of this paper-text-only extraction.",NA
"spadi_PMC4880881","Shoulder Pain and Disability Index (SPADI) total score","methods_first_named","Not declared as a single named timepoint. The Statistical analysis section explicitly distinguishes 'short-term follow-up (4 and 8 weeks)', which is analyzed as ONE pooled estimate (4- and 8-week observations entered as repeated measures in a single repeated-measures ANCOVA model, baseline as covariate), from 'long-term follow-up (12 months)', analyzed in a separate regression-based ANCOVA model. There is no separately reported inferential estimate for 4 weeks alone; only descriptive Mean(SD) per group at 4 weeks (Table 2, p.7) are given, with no accompanying CI/p-value for that single timepoint.",106,105,"patients","other","physiotherapist","change_score_difference",-20.8,-28.9,-12.7,NA,NA,"raw","intervention","ancova","baseline_only","itt","not_reported","not_reported","none","anova","longitudinal_pooled","none","model_based","not_reported","yes","no","no","registration_only","NCT01570985","BMC Musculoskeletal Disorders","unclear","no","unclear","(1) ZEITPUNKT: outcome_var=SPADItot4wks unterstellt einen eigenstaendigen primaeren 4-Wochen-Zeitpunkt. Das Paper deklariert SPADI zwar eindeutig als primaeres Outcome (Methods, 'Outcome measures': 'The primary outcome was the Shoulder pain and disability index (SPADI)'; Methods, 'Sample size': 'For SPADI, being the primary outcome measure, ...'), ABER es gibt KEINEN separat berichteten/getesteten 4-Wochen-only-Schaetzer. Die Statistical-analysis-Sektion (S.3-4) behandelt 4- und 8-Wochen-Daten explizit als nicht unabhaengig und fasst sie in EINEM 'repeated measures ANCOVA'-Modell als 'short-term' zusammen ('Since the 4 and 8 weeks data were not independent, we chose to analyze these data as multiple follow-up observations. This was done in a repeated measures ANCOVA model with 4 and 8 weeks observations as repeated measures to capture the main effect of treatment between groups'). Der publizierte Haupteffekt in Tabelle 4 (S.8) ist folglich ein gepoolter 4+8-Wochen-Schaetzer, kein reiner 4-Wochen-Kontrast. Fuer 4 Wochen allein existieren nur deskriptive Mean/SD je Gruppe (Tabelle 2, S.7), ohne CI/p-Wert. Die 'ANGENOMMEN'-Kennzeichnung in unserer Registry-Notiz war also berechtigt: die 4-Wochen-Annahme ist NICHT durch einen eigenen publizierten Primaerschaetzer gedeckt; korrekt waere entweder (a) Verwendung von SPADI bei 4 UND 8 Wochen gemeinsam in einem Modell mit Messwiederholung analog zum Paper, oder (b) explizite Deklaration, dass eine reine 4-Wochen-Analyse eine EIGENE (vom Paper abweichende) Analyseentscheidung unsererseits waere. (2) KONTROLLARM: Die Studie hat 3 Arme - IS (Steroid allein), ISD (Steroid+Distension/Kochsalz) und TAU (treatment-as-usual); TAU ist der tatsaechliche Kontrollarm der Studie und der Hauptvergleich, den das Paper berichtet, ist jeweils IS-vs-TAU und ISD-vs-TAU. Unsere Registry-Zeile nutzt jedoch nur 2 der 3 Arme (arm_include=1,2; arm_control=1) und schliesst einen Arm komplett aus. Aus dem Papertext allein ist NICHT ersichtlich, wie die numerische Kodierung der Variable 'Group' im OSF-Rohdatensatz (osf.io/4xvru) den drei Studienarmen zugeordnet ist -- das Paper nennt an keiner Stelle eine numerische Group-Kodierung. Falls die Kodierung der Nennreihenfolge im Paper folgt (IS=1, ISD=2, TAU=3, wie durchgaengig in Abstract/Methods/Tabelle 1-3 verwendet), wuerde unsere Registry-Zeile die beiden AKTIVEN Injektionsarme IS vs. ISD gegeneinander vergleichen (Tabelle 4, S.8: 1.2, CI -7.1 bis 9.6, nicht signifikant) und dabei die eigentliche TAU-Kontrollgruppe komplett aus der Reanalyse ausschliessen -- das entspraeche NICHT der primaeren Fragestellung der Studie (Intervention vs. TAU-Kontrolle), und 'arm_control=1' wuerde faelschlich einen aktiven Behandlungsarm (IS) als 'Kontrolle' kennzeichnen. Dies MUSS anhand der tatsaechlichen Group-Kodierung im OSF-Datensatz verifiziert werden, bevor die Reanalyse laeuft; aus dem Paper allein bleibt control_arm_matches='unclear'. (3) baseline_var=SPADItotPre ist inhaltlich konsistent mit der im Paper beschriebenen ANCOVA-Kovariate ('pretest as a covariate to adjust for baseline differences between subjects').",NA
"tdcs_PMC13257960","Voluntary activation (Central Activation Ratio, CAR) and quadriceps strength (Normalized Peak Torque, NPT, during MVIC) — two co-primary outcomes","methods_first_named","Post-intervention, i.e. after completion of the 10th a-tDCS session (baseline was assessed at 10 weeks post-ACLR, immediately before the first a-tDCS/sham session)",20,20,"patients","neuromodulation","physiotherapist","mean_difference",6.85,1.92,11.77,NA,0.01,"raw","intervention","endpoint","none","per_protocol","none_missing","not_reported","none","ttest","single_timepoint","none","model_based","bonferroni","yes","no","no","yes","IRCT20231113060048N1","PLOS ONE","yes","yes","unclear","1) The paper declares TWO co-primary outcomes (Statistical analyses, p.10/21: 'The pre-specified primary outcomes were voluntary activation and quadriceps strength, measured as normalized peak torque during MVIC'), not CAR alone. Our registry line (outcome_var=CAR_post_all/CAR_pre_all) captures only one of the two co-primary outcomes; NPT/MVIC (the other co-primary outcome) is not represented. 2) covars_published=age,BMI in our registry does NOT match the paper: age and BMI were tested only for baseline group balance (Table 1, both P>0.05) and were NOT used as covariates/adjustment in the primary CAR model, which was a simple unadjusted independent t-test/Mann-Whitney U between-group comparison (B_covariates=none). 3) control_arm_matches could not be verified from the paper text alone: the manuscript never states the numeric coding of a 'group' variable (e.g., whether control/sham = 1 or 2) in the underlying dataset; this must be checked against the Zenodo dataset codebook (10.5281/zenodo.19831812), not the paper. The paper does clearly identify sham a-tDCS + RPT as the comparator/control arm and active a-tDCS + RPT as the intervention arm. 4) Internal inconsistency in the paper itself: the headline 'mean difference: 6.85%' in the Abstract is the POST-INTERVENTION (endpoint) between-group difference in CAR (99.34% active vs 92.49% sham), whereas the Results body text separately reports RELATIVE percent within-group changes for CAR as '+4.98%' (active, i.e. (99.34-94.62)/94.62*100) and '-2.54%' (sham, i.e. (92.49-94.90)/94.90*100) -- these are different quantities from the 6.85-point endpoint mean difference and could be confused with it. 5) The sham group's within-group CAR p-value is reported inconsistently across the paper: p=0.76 (Results, 'Voluntary activation' paragraph, compared to active group), p=0.59 (same paragraph, few lines later, as the paired within-group test), and 'p = 0/80' (Abstract; apparently a typographical rendering of 0.80 in the original PLOS PDF). 6) A separate non-parametric sensitivity analysis on CAR change scores (Delta = post-pre) using Mann-Whitney U is also reported (U=9.00, P=0.001; Results, p.12/21), distinct from and more significant than the primary endpoint-based estimate (MD=6.85%, CI 1.92-11.77, p=0.01) used for published_estimate above.",NA
"tereco_PMC8318721","6-minute walking distance (6MWD), as measure of functional exercise capacity","methods_first_named","post-treatment, 6 weeks after baseline (~42.9 days on average)",120,119,"survivors","physiotherapy_rehabilitation","physiotherapist","adjusted_mean_difference",65.45,43.8,87.1,NA,NA,"raw","intervention","ancova","baseline_plus_strat","itt","mmrm_ml","not_reported","none","mixed_ri","longitudinal_pooled","none","not_reported","not_reported","no","no","no","yes","ChiCTR2000031834","Thorax","yes","yes","no","arm coding is reversed relative to the registry.csv notation: registry states arm_var=group_randomized, arm_control=1, but in the deposited data (TERECO_Public_Data_wide.csv) group_randomized=1 has baseline _6MWD1 mean 514.52 (SD 82.17, n=59) and group_randomized=2 has mean 499.98 (SD 92.63, n=60) -- these match the paper's Table 1 TERECO/intervention (n=59, mean 514.52, SD 82.87) and control (n=60, mean 499.98, SD 93.41) groups respectively. Also, all 7 missing post-treatment 6MWD values (_6MWD2) are in group_randomized=1, consistent with dropout being reported for the TERECO group in the paper. Conclusion: group_randomized=1 is TERECO/intervention, group_randomized=2 is control -- i.e. arm_control should be 2, not 1, as currently set in registry.csv. Outcome variables (X_6MWD1=baseline, X_6MWD2=post-treatment) correctly match the paper's declared primary outcome and timepoint. The registry note '7 fehlend post' is confirmed exactly (7 missing _6MWD2 values, all in the TERECO arm; n=119 baseline-analysed minus 7 = 112 = 60 control + 52 TERECO analysed post-treatment, matching Table 2).",NA
